hs_code,exports_a_to_b,exports_b_to_a,world_imports_a,world_imports_b
010121,1200000,900000,4000000,3500000
100630,25000000,12000000,80000000,60000000
170199,18000000,22000000,55000000,70000000
271012,60000000,95000000,300000000,260000000
300490,42000000,38000000,150000000,140000000
391740,22000000,33000000,70000000,85000000
720839,48000000,76000000,130000000,160000000
850440,35000000,72000000,120000000,180000000
870323,90000000,110000000,250000000,300000000
940360,28000000,15000000,60000000,50000000
851712,15000000,140000000,220000000,260000000
901890,26000000,52000000,100000000,120000000
