hs_code,product_description,a_sector,a_tariff_rate,b_tariff_rate,a_domestic_capacity_score,b_domestic_capacity_score,a_strategic_importance_score,b_strategic_importance_score,exports_a_to_b,exports_b_to_a,a_offensive_priority,a_defensive_sensitivity,b_offensive_priority,a_concession_value,a_net_negotiating_value,recommended_a_strategy,analyst_rationale,a_notes,b_sector,b_notes,world_imports_a,world_imports_b,a_tariff_norm,b_tariff_norm,a_capacity_norm,b_capacity_norm,a_strategic_norm,b_strategic_norm,exports_a_to_b_norm,exports_b_to_a_norm
870323,Passenger vehicles,Automotive,25,30,85,88,92,95,90000000,110000000,95.4,88.93,90.13,54.55,6.47,High-value reciprocal tradeoff,partner tariff is high; home tariff is high; home productive capacity is strong; home strategic importance is high; B exports more to A than A exports to B,High employment and industrial-policy relevance,Automotive,High-priority auto sector,250000000,300000000,1.0,1.0,0.85,0.88,0.92,0.95,1.0,0.7843278217109992
720839,Flat-rolled steel,Metals,14,20,80,90,88,90,48000000,76000000,67.41,65.45,67.85,52.86,1.96,Balanced negotiation item,partner tariff is high; home productive capacity is strong; home strategic importance is high; B exports more to A than A exports to B,Industrial base-sensitive product,Metals,Core industrial product,130000000,160000000,0.5217391304347826,0.6,0.8,0.9,0.88,0.9,0.527027027027027,0.5398993529834651
850440,Static converters,Electronics,6,18,50,70,70,78,35000000,72000000,51.02,44.55,50.15,52.54,6.47,Possible concession / bargaining chip,partner tariff is high; B exports more to A than A exports to B,Renewable-energy supply chain item,Electronics,Strategic electronics supply chain,120000000,180000000,0.17391304347826086,0.52,0.5,0.7,0.7,0.78,0.38063063063063063,0.5111430625449317
300490,Medicaments,Pharmaceuticals,4,10,60,55,95,94,42000000,38000000,50.78,41.61,40.41,48.5,9.17,Low-priority or monitor,home strategic importance is high; A exports more to B than B exports to A,Strategic health product,Pharmaceuticals,Health-system sensitivity,150000000,140000000,0.08695652173913043,0.2,0.6,0.55,0.95,0.94,0.4594594594594595,0.26671459381739754
271012,Light petroleum oils,Energy,8,6,55,70,90,92,60000000,95000000,50.06,57.12,60.52,52.58,-7.06,Balanced negotiation item,home strategic importance is high; B exports more to A than A exports to B,Energy-security relevance,Energy,Energy-sector relevance,300000000,260000000,0.2608695652173913,0.04,0.55,0.7,0.9,0.92,0.6621621621621622,0.676491732566499
170199,Refined sugar,Agriculture,22,16,75,65,80,78,18000000,22000000,49.88,61.64,59.24,49.84,-11.76,Protect / red-line item,partner tariff is high; home tariff is high; home productive capacity is strong; home strategic importance is high; B exports more to A than A exports to B,Politically sensitive agricultural product,Agriculture,Sensitive food-processing item,55000000,70000000,0.8695652173913043,0.44,0.75,0.65,0.8,0.78,0.1891891891891892,0.15168943206326385
100630,Semi-milled rice,Agriculture,18,12,70,50,85,75,25000000,12000000,47.44,54.26,48.26,47.13,-6.82,Low-priority or monitor,home tariff is high; home productive capacity is strong; home strategic importance is high; A exports more to B than B exports to A,Food security-sensitive item,Agriculture,Food security relevance,80000000,60000000,0.6956521739130435,0.28,0.7,0.5,0.85,0.75,0.268018018018018,0.07979870596693027
901890,Medical instruments,Medical devices,7,13,40,60,82,85,26000000,52000000,42.38,41.94,46.54,51.72,0.44,Low-priority or monitor,home strategic importance is high; B exports more to A than A exports to B,Strategic but import-reliant product,Medical devices,Health equipment sensitivity,100000000,120000000,0.21739130434782608,0.32,0.4,0.6,0.82,0.85,0.27927927927927926,0.36736161035226456
391740,Plastic fittings,Manufacturing,10,15,65,75,50,55,22000000,33000000,42.03,40.36,43.36,50.69,1.67,Low-priority or monitor,partner tariff is high; B exports more to A than A exports to B,Moderate manufacturing interest,Manufacturing,Domestic plastics sector,70000000,85000000,0.34782608695652173,0.4,0.65,0.75,0.5,0.55,0.23423423423423423,0.23076923076923078
940360,Wooden furniture,Consumer goods,12,9,68,55,45,40,28000000,15000000,36.45,38.68,35.08,46.89,-2.23,Low-priority or monitor,A exports more to B than B exports to A,Export-oriented light manufacturing,Consumer goods,Moderate sensitivity,60000000,50000000,0.43478260869565216,0.16,0.68,0.55,0.45,0.4,0.30180180180180183,0.10136592379583034
851712,Mobile phones,Electronics,2,5,20,45,65,70,15000000,140000000,21.66,47.0,53.0,53.0,-25.34,Possible concession / bargaining chip,B exports more to A than A exports to B,Low domestic capacity,Electronics,Consumer electronics item,220000000,260000000,0.0,0.0,0.2,0.45,0.65,0.7,0.1554054054054054,1.0
010121,Live horses,Agriculture,5,8,45,35,35,30,1200000,900000,19.6,19.91,16.91,45.34,-0.31,Low-priority or monitor,A exports more to B than B exports to A,Low strategic sensitivity,Agriculture,Niche agricultural item,4000000,3500000,0.13043478260869565,0.12,0.45,0.35,0.35,0.3,0.0,0.0
